Date,Duration,Max depth [m],Min temp [°C],Dive mode,Deco dive [Y|N],Deco stop violation [Y|N],Deco stop missed [Y|N]
03.08.2019 11:21:00,00:58:55,7.7,19.6,Air,N,N,N

Gas,Nitrox O2 [%],PPO2 [bar],Capacity [l],Volume [cu ft],Operating pressure [psi],Initial pressure [bar],End pressure [bar]
1,21,1.4,,,,,

Dive time [min:s],Depth [m],Temperature [°C],Gas,High pressure [bar],Gas consumption [l/min]
0:00,2.8,24.8,1,,
0:05,2.2,24.8,1,,
0:10,1.7,24.7,1,,
0:15,1.7,24.7,1,,
0:20,1.7,24.7,1,,
0:25,2.2,24.7,1,,
0:30,2.3,24.7,1,,
0:35,2.3,24.7,1,,
0:40,2.5,24.6,1,,
0:45,2.9,24.6,1,,
0:50,3.1,24.6,1,,
0:55,3.4,24.6,1,,
1:00,3.6,24.6,1,,
1:05,3.8,24.6,1,,
1:10,3.9,24.6,1,,
1:15,4.5,24.6,1,,
1:20,5.1,24.5,1,,
1:25,5.2,24.5,1,,
1:30,4.7,24.5,1,,
1:35,5.1,24.5,1,,
1:40,5.7,24.5,1,,
1:45,5.6,24.5,1,,
1:50,5.6,24.5,1,,
1:55,5.7,24.5,1,,
2:00,5.8,24.5,1,,
2:05,5.9,24.4,1,,
2:10,5.7,24.4,1,,
2:15,5.3,24.4,1,,
2:20,5.3,24.3,1,,
2:25,5.3,24.3,1,,
2:30,5.5,24.3,1,,
2:35,5.5,24.2,1,,
2:40,5.4,24.2,1,,
2:45,5.3,24.1,1,,
2:50,5.4,24.1,1,,
2:55,5.9,24.0,1,,
3:00,6.0,24.0,1,,
3:05,5.8,24.0,1,,
3:10,5.5,23.9,1,,
3:15,5.4,23.9,1,,
3:20,5.3,23.9,1,,
3:25,5.1,23.9,1,,
3:30,4.7,23.8,1,,
3:35,4.6,23.8,1,,
3:40,4.3,23.8,1,,
3:45,4.3,23.8,1,,
3:50,4.1,23.8,1,,
3:55,4.2,23.8,1,,
4:00,4.0,23.8,1,,
4:05,3.9,23.8,1,,
4:10,3.8,23.8,1,,
4:15,3.6,23.8,1,,
4:20,4.0,23.8,1,,
4:25,4.1,23.8,1,,
4:30,4.0,23.8,1,,
4:35,4.4,23.8,1,,
4:40,4.7,23.9,1,,
4:45,4.3,23.9,1,,
